ID,Occupant,Address,City,State,ZipCode,FIPS,Phone,Publisher,Year
2010509119,CONNECTICUT SCREEN WORKS,PO BOX 435,NEW HAVEN,CT,06502,09009,2037410859,InfoGroup,2010
2010509120,CT ASSN-SCHL BASED HEALTH CTR,PO BOX 771,NEW HAVEN,CT,06503,09009,2032309976,InfoGroup,2010
2010509121,YALE PEDIATRIC SPECIALTY CTR,1 PARK ST # 2,NEW HAVEN,CT,06504,09009,2037854649,InfoGroup,2010
2010509122,YALE NEW HAVEN CHILDREN'S HOSP,1 PARK ST,NEW HAVEN,CT,06504,09009,2037852701,InfoGroup,2010
2010509123,YALE PEDIATRIC SPECIALISTS,1 PARK ST # 2,NEW HAVEN,CT,06504,09009,2037854081,InfoGroup,2010
2010509124,YALE NEW HAVEN CHILDREN'S HOSP,1 PARK ST,NEW HAVEN,CT,06504,09009,2037852701,InfoGroup,2010
2010509125,,1 PARK ST,NEW HAVEN,CT,06504,09009,2037854643,InfoGroup,2010
2010509126,YALE NEW HAVEN CHILDREN'S HOSP,1 PARK ST,NEW HAVEN,CT,06504,09009,2037852701,InfoGroup,2010
2010509127,YALE NEW HAVEN CHILDREN'S HOSP,1 PARK ST,NEW HAVEN,CT,06504,09009,2037852701,InfoGroup,2010
2010509128,YALE NEW HAVEN CHILDREN'S HOSP,1 PARK ST,NEW HAVEN,CT,06504,09009,2037852701,InfoGroup,2010
2010509129,CT PEDIATRIC OTOLARYNGOLOGY,1 PARK ST,NEW HAVEN,CT,06504,09009,2037852591,InfoGroup,2010
2010509130,YALE PEDIATRICS,1 PARK ST # WP2,NEW HAVEN,CT,06504,09009,2037852702,InfoGroup,2010
2010509131,YALE NEW HAVEN CHILDREN'S HOSP,1 PARK ST,NEW HAVEN,CT,06504,09009,2037852701,InfoGroup,2010
2010509132,PATRICIA WOLF LAW OFFICE,PO BOX 1167,NEW HAVEN,CT,06505,09009,2034696890,InfoGroup,2010
2010509133,NEW HAVEN BAR ASSN,PO BOX 1441,NEW HAVEN,CT,06506,09009,2035629652,InfoGroup,2010
2010509134,MODERN GREEK STUDIES ASSOC,PO BOX 1826,NEW HAVEN,CT,06508,09009,2035662211,InfoGroup,2010
2010509135,JACOBS & ROZICH,PO BOX 1952,NEW HAVEN,CT,06509,09009,2037724134,InfoGroup,2010
2010509136,PERRIGO OF NEW JERSEY INC,PO BOX 1926,NEW HAVEN,CT,06509,09009,2038771112,InfoGroup,2010
2010509137,CHRIST PRESBYTERIAN CHURCH,135 WHITNEY AVE,NEW HAVEN,CT,06510,09009,2037776960,InfoGroup,2010
2010509138,NEW HAVEN MAYOR'S OFFICE,165 CHURCH ST # 2,NEW HAVEN,CT,06510,09009,2039468200,InfoGroup,2010
2010509139,NEW HAVEN ALDERMEN BOARD,165 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2039466483,InfoGroup,2010
2010509140,NEW HAVEN ASSESSOR'S OFFICE,165 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2039466047,InfoGroup,2010
2010509141,NEW HAVEN BUILDING INSPECTION,200 ORANGE ST # 502,NEW HAVEN,CT,06510,09009,2039468045,InfoGroup,2010
2010509142,NEW HAVEN CHIEF ADMIN OFFICER,165 CHURCH ST # 3R,NEW HAVEN,CT,06510,09009,2039467900,InfoGroup,2010
2010509143,NEW HAVEN CHILDREN & FAMILY,165 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2039468592,InfoGroup,2010
2010509144,NEW HAVEN CITY PLAN DEPT,165 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2039466378,InfoGroup,2010
2010509145,NEW HAVEN COMMISSION ON EQUAL,200 ORANGE ST # 401,NEW HAVEN,CT,06510,09009,2039468160,InfoGroup,2010
